Fund,FMC_annual
Equity Large Cap Fund,0.0135
Equity Top 250 Fund,0.0135
Bond Fund,0.0125
Equity Mid Cap Fund,0.0135
Managed Fund,0.0135
Equity Blue Chip Fund,0.0135
GILT Fund,0.0125
Discontinuance Policy Fund,0.005
